ACCEPT;Přijmout
PROMPT_TOURNAMENT_LEAD_DECK_PICK_CONFIRM;První balíček, který si vyberete, budete MUSET použít v zápase jako první, dokud neprohrajete. Chcete pokračovat?
PROMPT_TOURNAMENT_LOBBY_LEAVE_CONFIRMATION;Pokud odejdete z turnajové mistnosti předtím, než se dokončí zbývající hry, prohajete vaše zápasy. Opravdu chete odejít?
PROMPT_TOURNAMENT_SIGNUP_CONFIRM;Opravdu chete používat tyto balíčky? Jakmile se zapíšete, nelze je změnit.
PROMPT_TRANSACTION_FAILED;Transakce byla neúspěšná
PROMPT_USERNAME_SKIP_BUTTON_TEXT;Přeskočit
PROMPT_USER_NAME_TITLE_TEXT;Jméno hráče
PROMPT_VICTORY;Vítězství!
PROMPT_VICTORY_CONTINUE_BUTTON_TEXT;Pokračovat
PUBLIC_ARENA_GAME_SEARCH;Hledání
PUBLIC_GAME_SEARCH;Hledání
QUEST_HINT_WILD_COST;Vyžaduje daný počet speciálních pevnin (celkem).
QUEST_HOW_TO_UNLOCK_LANE;Dosáhněte úrovně {0} pro odemčení této cesty.
QUEST_LANE_ACT_NAME;Balík misí
QUEST_LANE_COMPLETED;Cesta dokončena!
QUEST_LANE_PROGRESSION;{0}/{1}
QUEST_LANE_WILD_NAME;Bláznivé
QUEST_LOCKED_NAME;Uzamčená mise
QUEST_OPPONENT_LEVEL;Úroveň {0}
QUEST_PACK_COMPLETED;Balík misí dokončen
QUEST_REQUIRED_LEVEL;Vyžaduje\nÚroveň {0}
QUEST_REWARD_EXPERIENCE_ABBREVIATION;XP
QUEST_TYPE_CHALLENGE;Výzva
QUEST_TYPE_EPIC;Epická mise
QUEST_TYPE_EPIC_FORCED_DECK;Mise
QUEST_TYPE_INTRO;Mise
QUEST_TYPE_MYSTERY;Tajemná mise
QUEST_TYPE_PUZZLE;Hádanka
QUEST_TYPE_QUEST;Úkol
QUEST_TYPE_SURVIVAL;Přežití
RANK_DOWN;Nižší postavení
RANK_STAR_DEFEAT;Porážka
RANK_STAR_FIRST_WIN_OF_THE_DAY;První výhra dne!
RANK_STAR_HIGHER_LEAGUE_OPPONENT;Porazili jste mnohem silnějšího protivníka!
RANK_STAR_VICTORY;Vítězství!
RANK_STAR_WIN_STREAK;Několik výher za sebou!
RANK_UP;Vyšší postavení
RECOVERY_CODE;Obnovovací kód
RECOVERY_STEAM;Můj účet byl vytvořen na PC/macOS/Linuxu.
RECOVERY_SUPPORT;Výše uvedené možnosti nefungovaly.
RECOVERY_VALIDATED;Můj účet Faerie je ověřen (Přes e-mailovou adresu).
RECRUITER;Náborář
REFUSE;Zamítnout
REFUSE_FRIEND_REQUESTS;Odmítat žádosti o přátelství
REFUSE_FRIEND_SPECTATE;Odmítat žádosti o sledovaní
REPLAY_BUTTON_TEXT;Režim Opakování
REQUEST_CANCELED_BY_HOST;Žádost byla zrušena hostitelem
REROLL;Vyměnit
RESOLUTION;Rozlišení: {0}
RUSH_TUTORIAL;Agresivní zahájení
SAVE;ULOŽIT
SEARCH_MODE_CASUAL_BUTTON_TEXT;Nehodnocený
SEARCH_MODE_RANKED_BUTTON_TEXT;Hodnocený
SEARCH_TIME_ARENA_MODE_NAME;Pandora
SEARCH_TIME_CONSTRUCTED_MODE_NAME;Zkonstruovaný
SERVER_INFO_CUSTOM;{0}
SERVER_INFO_LAST_ANNOUNCEMENT;Nejnovější dostupné oznámení <u><link={0}>zde</link></u>.
SERVER_INFO_MAINTENANCE_SCHEDULED;Údržba serveru je naplánována na {0}
SERVER_INFO_MAINTENANCE_IN_PROGRESS;Naši jaknici provádějí údržbu serveru. Očekáváme, že naše servery budou zpátky okolo {0}
SERVER_INFO_NEW_VERSION_CHANGELOG;Nejnovější seznam změn je dostupný <u><link={0}>zde</link></u>.
SERVER_INFO_SERVER_IS_DOWN;Server je dole.
SERVER_IP;IP server
SETTING_ANIMATED_BACKGROUND;Animované pozadí:
SETTING_BUTTON_TEXT_EXIT;Ukončit
SETTING_BUTTON_TEXT_OPTIONS;Možnosti
SETTING_BUTTON_TEXT_PAUSE;Pozastavit
SETTING_MUTE_IN_BACKGROUND;Ztlumit na pozadí
SETTING_PERMANENT_DECK_HAND_INFO;Trvale zobrazit počet karet v balíčku/ruce
SETTING_POWER_SAVING_MODE;Úsporný režim
SETTING_TEXT_AUDIO_TITLE;Nastavení zvuku
SETTING_TEXT_GAMEPLAY_TITLE;Nastavení hry
SETTING_TEXT_VIDEO_TITLE;Nastavení zobrazení
SETTING_TOGGLE_TEXT_MUTE_EMOTES;Ztlumit hlášky
SETTING_TOGGLE_TEXT_SHOW_LAND_COUNT;Zobrazit počet pevnin
SETTING_TOGGLE_TEXT_UNMUTE_EMOTES;Obnovit hlášky
SETTING_WINDOWED;V okně:
SET_RECRUITER_NAME;Přidejte si přítele jako náboráře a oba dostanete úžasné odměny na vaší cestě Faerií!\nVíce informací na<link=faeria.com/recruit-your-friends>faeria.com/recruit-your-friends</link>.
SHOP;Klikněte pro otevření bedny
SHOP_ANNUITY_DAYS_LEFT;Zbývá {0} dnů
SHOP_INPUT_FIELD_HINT_COUPON;Napište svůj kupón sem
SIGN_IN;Přihlásit se
SIGN_OUT;Odhlásit se
SOLO_COMPLETED;Mise dokončena!
SPECTATORS_CANNOT_PAUSE;Diváci nemůžou pozastavit hru.
SPECTATOR_JOINED_GAME;{0} se přidal jako divák.
SPECTATOR_LEFT_GAME;Dívák {0} odešel ze hry.
STOP_SPECTATING;Přestat sledovat
SURRENDER;Vzdát se
TOPBAR_BUTTON_PLAY;HRÁT
TUTORIAL_DECK_CREATED;Toto je váš nový balíček!
TUTORIAL_DECK_CREATED_BACK;Stiskněte tlačítko Zpět pro vybrání herního režimu
UPDATE_VERSION_OUTDATED;Váš klient potřebuje aktualizovat.
UPDATE_VERSION_TIP_IOS;*Pokud požadovaná verze není dostupná ve vašem App Store, budete si na ni muset počkat.
USER_NAME_WELCOME;Vítejte ve Faerii!\nJak se budete jmenovat?
USE_THIS_SET;Použít Vzorec
USE_TIMEBANK;Použít časový limit:
WELCOME_BUTTON_TEXT_ENTER_GAME;Přihlásit se
WELCOME_BUTTON_TEXT_EXIT;Ukončit
WELCOME_BUTTON_TEXT_OFFICIAL_PAGE;Oficiální stránka
WELCOME_BUTTON_TEXT_STEAM_LOGIN;Klikněte kamkoliv pro přihlášení
WELCOME_BUTTON_TEXT_START_AS_GUEST;Začít jako host
WELCOME_BUTTON_TEXT_START_AS_ACCOUNT;Už mám účet
WELCOME_INPUT_FIELD_HINT_PASSWORD;Heslo
WELCOME_INPUT_FIELD_HINT_SERVER_IP;Server IP
WELCOME_INPUT_FIELD_HINT_USERNAME;Jméno účtu
WELCOME_USE_ANOTHER_ACCOUNT;Odhlásit se
WINNER;Vítěz
WORLD_BOSS_OBJECTIVE_PROGRESS;Poražte 3 bosse ({0}/3)
WORLD_BOSS_OBJECTIVE_TEXT1;Odemkněte Orb šampiónů
WORLD_BOSS_OBJECTIVE_TEXT2;Vylepšete si svůj Orb šampiónů
WORLD_BOSS_OBJECTIVE_TITLE;Světový úkol
WORLD_BOSS_REWARD;Odměna za bosse
WORLD_LOCATION;Lokace
XP;{0} xp
YOU_PLAY_FIRST;Začínáte
YOU_PLAY_SECOND;Váš protivník začíná
CARD_WAS_PROMOTED_AS_DECK_COVER;Tato karta byla zvolena obrázkem balíčku.
CURRENT_DECK_COVER;Aktuální obrázek balíčku
PROMOTE_DECK_COVER;Zvolit jako obrázek balíčku
CARD_ZOOM_PROMOTE_AS_DECK_COVER_BUTTON_TOOLTIP;Zvolit jako obrázek balíčku
CARD_ZOOM_VIEW_LORE_PAGE_BUTTON_TOOLTIP;Zobrazit příběh
LORE_BOOK_EXPLANATION_TEXT;Sbírejte střípky pověstí a poznejte legendy a tajemství světa Faerie.
LORE_PAGE_ARTISTS;<b>Umělci</b> {0}
LORE_PAGE_NOT_AVAILABLE;Pro přístup k příběhům potřebujete alespoň úroveň {0}
CO_OP_LOBBY;Kooperativní místnost
LOBBY_CRUCIBLE_RULES_TITLE;Pravidla Zkoušky ohněm
LOBBY_DECK_FORMAT;Formát balíčku:
LOBBY_DECK_FORMAT_CLASSIC;Klasický
LOBBY_DECK_FORMAT_CRUCIBLE;Zkouška ohněm
LOBBY_MINUTES_PER_GAME;Minuty za hru:
LOBBY_SECONDS_PER_TURN;Sekundy za tah:
LORE_BOOK_EMPTY_SECTION;V této oblasti nejsou žádné výsledky
LORE_PAGE_NOT_YET_AVAILABLE;Tento příběh ještě není dostupný
LOBBY_GO_TO_COLLECTION;Jít do sbírky
LOBBY_START_OVER;Začít znovu
PROMPT_LOBBY_BACK_CONFIRMATION;Tímto všehchny vrátíte do nastavení místnosti. Pokračovat?
PROMPT_LOBBY_START_OVER_CONFIRMATION;Toto resetuje místnost a odemkne nastavení. Pokračovat?
REGISTER_YOUR_DECKS;Zapište své balíčky!
TOURNAMENT_DECKS_REGISTERED;Balíček zapsán!
LORE_BOOK_UNAVAILABLE_TOOTIP;Odemkne se na úrovni {0}
CREDIT_RATE_US_ON_STEAM_BUTTON_TEXT;Dejte nám hodnocení na Steamu
HOME_CREDITS_BUTTON_TEXT;Titulky
PROMPT_FRIEND_CALLED;Vašemu ztracenému jakovi jsme poslali e-mail.\nMůžete ho kontaktovat i přes svůj oblíbený komunikační kanál - stačí, když se přihlásí!
PROMPT_FRIENDS_CALLED;Vašim {0} ztraceným jakům jsme poslali e-mail.\nMůžete je kontaktovat i přes svůj oblíbený komunikační kanál - stačí, když se přihlásí!
FRIEND_CALL_SEND;Poslat
FRIEND_CALL_NO_ELIGIBLE;Již jste zavolali všechny své přátele!
FRIENDLIST_CALL_FRIEND;Zavolat staré přátele!
MAINMENU_TITLE_PUZZLES;HÁDANKY
SETTING_CLEAR_CACHE;Vyčistit mezipaměť
CACHE_CLEARED;Účinky se projeví po restartování hry.
CACHE_CLEAR_FAIL_PERMISSION;Operace se nezdařila, zkuste spustit Faerii jako administrátor.
CACHE_CLEAR_FAIL_IN_USE;Operace se nezdařila, soubor je používán - restartujte svůj počítač a opakujte pokus.
XP_WITH_NEXT_LEVEL;{0}/{1}xp
SET_COSMETICS;Vybrat doplňky
PLAY_MENU_SOLO_DRAGONS_LAIR;Dračí sluj
MARKET_ITEM_SPECIAL_PROMO;Zvláštní nabídka
MARKET_ITEM_COMPLETE_YOUR_SET;Dokončete svou sadu!
DRAGON_TODAYS_CHALLENGES;Dnešní výzvy
DRAGON_SOLO_MISSION;Mise pro jednoho
DRAGON_REWARD;Dračí odměna
DRAGON_CO_OP_MISSION;Kooperativní mise
APPLY;Provést
MOUSE_PROMPT_CLICK_ANYWHERE;Pro pokračování klikněte kamkoliv
PLAY_MENU_SOLO_WORLDBOSS_INFO;Velmi obtížné souboje, které otestují vaše schopnosti tvořit balíčky.
PLAY_MENU_SOLO_STANDARD_INFO;Ovládněte základy Faerie v řadě balíčků misí.
PLAY_MENU_SOLO_OVERSKY_INFO;Kooperativní kampaň. Zapojte se do bitvy po boku kamaráda nebo počítače.
PLAY_MENU_SOLO_DRAGONS_LAIR_INFO;Každodenní výzvy. Vracejte se každý den a porazte nové draky. Bitvy pro jednoho i více hráčů.
MAINMENU_TITLE_SOLO_INFO;Objevte v těchto výzvách pro jednoho i více hráčů svět Faerie.
MAINMENU_TITLE_PUZZLES_INFO;Řešte spletité hádanky a naučte se při tom několik užitečných triků.
MAINMENU_TITLE_PANDORA_INFO;Draft. Zkuste si nové karty a vytvořte jedinečný balíček. Přežijte tak dlouho, jak to jen půjde.
MAINMENU_TITLE_BATTLE_INFO;Klasická Faeria. Připojte se k nehodnocenému nebo hodnocenému zápasu, případně bojujte s počítačem.
MOUSE_HOME_LINKS_INFO;Zde si můžete přečíst důležitá oznámení na našem blogu.
DEFAULT_BUTTON_TEXT;Základní
BACK_TO_WORLD_BOSSES;Zpět k bossům světa
BACK_TO_PUZZLES;Zpět k hádankám
BACK_TO_PANDORA;Zpět do Pandory
BACK_TO_OVERSKY;Zpět do Zánebí
BACK_TO_MISSIONS;Zpět k misím
BACK_TO_DRAGONS_LAIR;Zpět do Dračí sluje
BACK_TO_BATTLE;Zpět do bitvy
LORE_BOOK_TOGGLE_TEXT;Kniha příběhů
SHOW;Zobrazit
INGAME_OPPONENT_DISCOVERING_CARD;Protihráč objevuje kartu
INGAME_ALLY_DISCOVERING_CARD;Spojenec objevuje kartu
HIDE;Skrýt
GEMS_INFO_POPUP_DESCRIPTION;Klenoty jsou od nynějška speciální měnou, kterou lze získat pouze během zvláštních a propagačních událostí.
GEMS_INFO_POPUP_TITLE;O klenotech
SHORTCUT_TEXT_TOGGLE;Přepnout
SHORTCUT_TEXT_MODIFY_SLIDER;Upravit posuvník
SHORTCUT_TEXT_CLOSE;Zavřít
SETTING_TEXT_LANGUAGE_TITLE;Jazyk
SERVER_INFO_UNAVAILABLE;Servery jsou v tuto chvíli nedostupné
CHAT_ERROR_RECIPIENT_CANNOT_CHAT;{0} není v chatu povoleno
YOUR_SUPPORT_ID;Vaše ID:
PROBLEM_OCCURED_AND_GAME_NEEDS_RESTART;Vyskytl se problém. Je potřeba restartovat hru
MOUSE_PROMPT_CLICK_TO_CLOSE;Kliknutím zavřete
LOADING_HERDING_YAKS;Paseme jaky
LOADING_DOWNLOADING_CONTENT;Stahujeme obsah
LOADING_CHECKING_CONTENT;Hledáme nový obsah
GAMEPAD_PROMPT_CLICK_TO_CLOSE;Zavřete stisknutím {GAMEPAD_ACTION_CANCEL}
GAMEPAD_PROMPT_CLICK_ANYWHERE;Chcete-li pokračovat, stiskněte {GAMEPAD_ACTION_CONFIRM}
GAMEPAD_HOME_LINKS_INFO;Chcete-li si přečíst důležité novinky, stiskněte {GAMEPAD_ACTION_CONFIRM}
CHAT_ERROR_MULTIPLE_FRIENDS_WITH_NAME;Toto uživatelské jméno používá více přátel. Pokud chcete chatovat s tuto osobou, využijte kontextové menu seznamu přátel.
GO_TO_STORE_BUTTON_TEXT;Jít do obchodu
CHAT_ERROR_MESSAGE_REFUSED;Vaše zpráva byla automaticky zamítnuta příjemcem z důvodu jejího obsahu.
CHAT_ERROR_SANITIZATION_ERROR;Zpráva byla zamítnuta z důvodu obsahu.
ID_COPIED_TO_CLIPBOARD;ID zkopírováno do schránky.
SPECIAL_LADDER_MAPS_EVENT_TITLE;Speciální žebříčkové mapy
PLAYER_PLATFORM_XBOX_LIVE;Xbox Live
PLAYER_PLATFORM_PS4;PS4
PLAYER_PLATFORM_SWITCH;Nintendo Switch
PLAYER_UNKNOWN_USER_NAME;Neznámý hráč
PLAYER;Hráč
NOT_ENOUGH_COINS;Nemáte dostatek střípků.
NOT_ENOUGH_GEMS;Nemáte dostatek klenotů.
LADDER_RANKED_BUTTON;Hodnocené
LADDER_PANDORA_BUTTON;Pandora
LADDER_ARENA_DESCRIPTION;64 nejlepších hráčů podle pandorských bodů
LADDER_RANKED_DESCRIPTION;Hráči na božské úrovni podle ELO
HOME_LADDER_BUTTON_TEXT;Žebříček
COSMETIC_ITEM_NOT_OWNED;Tento kosmetický předmět nevlastníte
SETTING_BUTTON_TEXT_CHANGE_PROFILE;Změnit profil
DOWNLOADED;Staženo
PROMPT_LANGUAGE_CHANGED_PROMPT_SIGNOUT;Změnili jste jazyk hry, nyní budete odhlášeni
